,사업장명,업태구분명,업소URL,지번주소,도로명주소,대표메뉴,가격정보,메뉴라벨링,외식비
25,사계식당,한식,1562451118,서울특별시 동작구 사당동 91-175 ,서울특별시 동작구 동작대로29나길 14 1층 (사당동),,,,
26,청하식당,한식,37769702,서울특별시 동작구 노량진동 13-6 ,서울특별시 동작구 노들로 674 지상2층 1호 (노량진동),,,,
27,푸라닭 사당1호점,한식,1376020558,서울특별시 동작구 사당동 1131 ,서울특별시 동작구 사당로13길 31 두산위브  지하1층 제지1-1 1-2호 (사당동),,,,
28,숭실대중문 한솥도시락,한식,1258501482,서울특별시 동작구 상도동 502-6번지 동운빌딩 ,서울특별시 동작구 사당로 14 1층 (상도동),,,,
29,도투머리,한식,1339476382,서울특별시 동작구 대방동 17-20 지원빌딩 ,서울특별시 동작구 등용로 88 지원빌딩 1층 (대방동),가야밀면,6000원,,
30,꿀꾸랄라,한식,30808641,서울특별시 동작구 노량진동 123-10 ,서울특별시 동작구 만양로14길 4 (노량진동),삼겹살(180g),"6,000원",삼겹살,18056
31,생오리 회전 숯불구이,한식,20734849,서울특별시 동작구 사당동 254-11 ,서울특별시 동작구 사당로14가길 8 (사당동),냉면,7000원,,
32,이수한우명가,한식,33040151,서울특별시 동작구 사당동 147-29번지 1층 126호127호 ,서울특별시 동작구 사당로 300 (사당동 1층 126호127호),,,,
33,비비엣,한식,1173236303,서울특별시 동작구 상도동 506-1 ,서울특별시 동작구 사당로 36 (상도동),,,,
34,소반,한식,1629252754,서울특별시 동작구 신대방동 708번지 해태보라매타워 ,서울특별시 동작구 보라매로3길 29 지하층 52535657호 (신대방동 해태보라매타워),,,,
35,소반,한식,1629252754,서울특별시 동작구 신대방동 616-38번지 ,서울특별시 동작구 신대방길 56 나동 1층 (신대방동),,,,
36,서달양조장,한식,1174982785,서울특별시 동작구 흑석동 102-130번지 ,서울특별시 동작구 서달로 165-1 2층 (흑석동),,,,
37,정호식당,한식,21817802,서울특별시 동작구 본동 126-44번지 ,서울특별시 동작구 노량진로 250-1 (본동),,,,
38,정통왕족발,한식,36504877,서울특별시 동작구 상도1동 268-2 1층 ,서울특별시 동작구 상도로47길 3 (상도1동 1층),,,,
39,양철북,한식,1059500292,서울특별시 동작구 노량진동 330번지 ,서울특별시 동작구 만양로 84 제지하1층 24호 (노량진동),,,,
40,장충족발,한식,1813132873,서울특별시 동작구 노량진동 119-64 ,서울특별시 동작구 노량진로16길 31 (노량진동),,,,
41,큰맘할매순대국,한식,37373882,서울특별시 동작구 상도동 504-3번지 ,서울특별시 동작구 상도로61길 40 지상1층 (상도동),,,,
42,미고삼,한식,1866362071,서울특별시 동작구 사당동 139-27 ,서울특별시 동작구 동작대로27다길 8 1층 (사당동),한돈 1등급 생삼겹살,"12,900원",삼겹살,18056
43,셰프앤유,한식,1240343321,서울특별시 동작구 신대방동 425 (지하1층) ,서울특별시 동작구 보라매로5길 20 (신대방동(지하1층)),,,,
44,와우치킨바베큐,한식,1790857488,서울특별시 동작구 신대방동 694-14 ,서울특별시 동작구 대림로 29 1층 (신대방동),,,,
45,이가네,한식,1773046184,서울특별시 동작구 대방동 386-3번지 ,서울특별시 동작구 여의대방로36길 10-9 1층 (대방동),,,,
46,흑석전집,한식,1124845126,서울특별시 동작구 흑석동 97-6 ,서울특별시 동작구 서달로12길 13 1층 (흑석동),,,,
